Company,Tier,Category,Target_Contact_Role,Contact_Email,Phone_Office,Value_Pitch,Status
Tunisie Telecom,Diamond / Title Sponsor,National Telecom Operator,Head of Corporate Partnerships / CSR & Talent Acquisition,partenariats@tunisietelecom.tn,+216 71 860 000,"Direct employer branding, recruitment access to top 200 telecommunications & AI students in Tunisia, exclusive keynote slot on national 5G/FTTH roadmap.",Prospect — High Priority
Ooredoo Tunisia,Platinum Sponsor,Telecom Operator & 5G Leader,Director of Innovation & Brand Sponsorship,sponsoring@ooredoo.tn,+216 22 123 123,Showcase Ooredoo 5G Lab & Cloud data centers; exclusive sponsor of the 5-Minute Student Lightning Pitch Competition.,Prospect — High Priority
Orange Tunisie & Orange Digital Center (ODC),Platinum Sponsor,Telecom & Tech Ecosystem Incubator,Head of Orange Digital Center & Talent Outreach,orangedigitalcenter@orange.tn,+216 31 100 000,"Host tech workshops, direct pipeline for ODC developer academy, hackathon prize partner.",Prospect — High Priority
Telnet Holding,Gold Sponsor,"Aerospace, Space Tech & Embedded IoT",Chief Technology Officer / Space Division,contact@groupe-telnet.net,+216 71 860 233,Promote CubeSat/Space IoT initiative (Challenge One) and recruit top embedded hardware/firmware engineers.,Prospect — High Priority
InstaDeep (BioNTech),Gold Sponsor,Advanced Artificial Intelligence,"Head of Community, Academia & Talent EMEA",community@instadeep.com,+216 71 860 900,"Lead AI in Communications track, showcase Deep Reinforcement Learning for telecom networks.",Prospect — High Priority
Ericsson North Africa,Gold Sponsor,Global Telecom Equipment Vendor,Head of Customer Unit North Africa & HR,tunisia.recruitment@ericsson.com,+216 71 182 000,"Global ComSoc corporate partner, showcase Open RAN & 6G research initiatives.",Prospect — High Priority
Nokia North Africa,Gold Sponsor,Global Telecom Infrastructure & Bell Labs,Regional Director & University Relations,university.relations@nokia.com,+216 71 130 500,Global STLC patron; sponsor student travel grants and Bell Labs innovation talks.,Prospect — High Priority
Huawei Tunisia,Gold Sponsor,Global ICT & Seeds for the Future,Public Relations & ICT Academy Director,ict_tunisia@huawei.com,+216 71 100 800,"Integrate Huawei ICT Academy competitions, certified lab hardware showcase.",Prospect — High Priority
ACTIA Engineering Services Tunisia,Silver Sponsor,Automotive Telematics & Embedded Systems,HR Director & University Partnership Manager,recrutement@actia-engineering.tn,+216 71 165 000,Automotive connected V2X systems and telematics talent pipeline.,Prospect
Sofrecom Tunisia (Orange Group),Silver Sponsor,Telecommunications Consulting & Software,Head of Talent Acquisition & Digital Transformation,recrutement@sofrecom.com,+216 71 161 600,Cloud native and 5G network software engineering recruitment.,Prospect
Vermeg,Silver Sponsor,FinTech & Cloud Distributed Architecture,Campus Management & CSR,careers@vermeg.com,+216 71 190 000,"Cloud microservices, DevOps, and cybersecurity student talent pipeline.",Prospect
SAGEMCOM Tunisia,Silver Sponsor,Broadband Terminals & Smart Energy IoT,University Relations & R&D Center Lead,drh.tunisie@sagemcom.com,+216 71 860 111,"Hardware PCB, RF engineering, and smart meter IoT device design hiring.",Prospect
